"source","target","ligand.complex","ligand","receptor.complex","receptor","receptor.prop","ligand.prop","ligand.scaled","receptor.scaled","weight_sc","consensus_rank"
"7","5","LAMC1","LAMC1","CD44","CD44",1,0.984615384615385,1.84328209519535,2.32431070641141,2.08379640080338,1
"5","5","FN1","FN1","CD44","CD44",1,1,1.73605843858543,2.32431070641141,2.03018457249842,2
"6","6","MIA","MIA","ITGA4","ITGA4",0.794520547945205,0.917808219178082,2.64218646581,1.38023045257384,2.01120845919192,3
"1","6","PDGFA","PDGFA","PDGFRA","PDGFRA",0.986301369863014,0.949152542372881,1.42880025622378,2.56177453514948,1.99528739568663,4
"6","7","MIA","MIA","ITGB1","ITGB1",1,0.917808219178082,2.64218646581,1.30780764363557,1.97499705472278,5
"6","5","COL2A1","COL2A1","CD44","CD44",1,0.808219178082192,1.61385631377849,2.32431070641141,1.96908351009495,6
"7","3","SEMA3E","SEMA3E","NRP1","NRP1",1,1,2.55491519124865,1.30713750139481,1.93102634632173,7
"3","5","COL1A2","COL1A2","CD44","CD44",1,0.988888888888889,1.52112378140564,2.32431070641141,1.92271724390853,8
"3","5","SPP1","SPP1","CD44","CD44",1,1,1.48817066677623,2.32431070641141,1.90624068659382,9
"7","5","LAMB1","LAMB1","CD44","CD44",1,1,1.37603519108253,2.32431070641141,1.85017294874697,10
"4","5","VEGFA","VEGFA","CD44","CD44",1,0.965909090909091,1.32229485424348,2.32431070641141,1.82330278032745,11
"7","5","LPL","LPL","CD44","CD44",1,1,1.30203052877754,2.32431070641141,1.81317061759448,12
"6","5","LAMA4","LAMA4","CD44","CD44",1,0.958904109589041,1.17889225069957,2.32431070641141,1.75160147855549,13
"5","5","COL4A5","COL4A5","CD44","CD44",1,0.946666666666667,1.17219287842624,2.32431070641141,1.74825179241883,14
"2","5","FGF1","FGF1","CD44","CD44",1,0.946428571428571,1.16599741601083,2.32431070641141,1.74515406121112,15
"2","6","EFNA5","EFNA5","EPHA3","EPHA3",0.945205479452055,0.964285714285714,1.40702335992976,2.07295004275206,1.73998670134091,16
"7","5","SEMA3E","SEMA3E","NRP2","NRP2",0.96,1,2.55491519124865,0.903131707259877,1.72902344925426,17
"7","6","PDGFC","PDGFC","PDGFRA","PDGFRA",0.986301369863014,0.938461538461538,0.869765898064883,2.56177453514948,1.71577021660718,18
"5","5","COL4A6","COL4A6","CD44","CD44",1,0.586666666666667,1.08545044709691,2.32431070641141,1.70488057675416,19
"5","3","C3","C3","NRP1","NRP1",1,1,2.08480732526936,1.30713750139481,1.69597241333209,20
"5","5","IL6","IL6","F3","F3",1,0.973333333333333,1.50558955029151,1.86067322532007,1.68313138780579,21
"5","5","HAS2","HAS2","CD44","CD44",1,0.893333333333333,1.04071864155752,2.32431070641141,1.68251467398446,22
"3","5","SPP1","SPP1","S1PR1","S1PR1",0.893333333333333,1,1.48817066677623,1.84981990418937,1.6689952854828,23
"5","5","MMP7","MMP7","CD44","CD44",1,0.853333333333333,0.991178641430701,2.32431070641141,1.65774467392106,24
"7","3","SEMA3A","SEMA3A","NRP1_PLXNA4","PLXNA4",0.9,1,2.26166881376377,1.05261062185414,1.65713971780895,25
"6","5","MIA","MIA","ITGA5","ITGA5",0.6,0.917808219178082,2.64218646581,0.639980500064933,1.64108348293747,26
"7","8","HAPLN1","HAPLN1","AGER","AGER",0.257142857142857,1,2.40180879216011,0.880177312388,1.64099305227405,27
"2","5","TIMP3","TIMP3","CD44","CD44",1,0.946428571428571,0.930924322532389,2.32431070641141,1.6276175144719,28
"3","5","PKM","PKM","CD44","CD44",1,1,0.930236403329889,2.32431070641141,1.62727355487065,29
"7","5","LAMA4","LAMA4","CD44","CD44",1,0.969230769230769,0.928391227158279,2.32431070641141,1.62635096678485,30
"6","5","LAMB1","LAMB1","CD44","CD44",1,0.986301369863014,0.923184551448952,2.32431070641141,1.62374762893018,31
"7","7","HAPLN1","HAPLN1","TNFRSF11B","TNFRSF11B",0.923076923076923,1,2.40180879216011,0.827442106624852,1.61462544939248,32
"1","5","COL1A1","COL1A1","CD44","CD44",1,0.711864406779661,0.888020453218704,2.32431070641141,1.60616557981506,33
"5","5","VIM","VIM","CD44","CD44",1,1,0.870453138792051,2.32431070641141,1.59738192260173,34
"5","5","VCAN","VCAN","CD44","CD44",1,0.986666666666667,0.866069227359118,2.32431070641141,1.59518996688527,35
"7","5","SEMA3A","SEMA3A","NRP2","NRP2",0.96,1,2.26166881376377,0.903131707259877,1.58240026051182,36
"7","1","PTN","PTN","SDC3","SDC3",0.923728813559322,1,1.43030919109949,1.73172779248458,1.58101849179204,37
"6","4","MIA","MIA","CDH7","CDH7",0.965909090909091,0.917808219178082,2.64218646581,0.508736724805542,1.57546159530777,38
"5","5","COL6A1","COL6A1","CD44","CD44",1,0.706666666666667,0.813590033951123,2.32431070641141,1.56895037018127,39
"7","5","ADAM10","ADAM10","CD44","CD44",1,1,0.788781832607603,2.32431070641141,1.55654626950951,40
"8","6","EFNB2","EFNB2","EPHA3","EPHA3",0.945205479452055,0.8,1.03935590666294,2.07295004275206,1.5561529747075,41
"5","5","COL14A1","COL14A1","CD44","CD44",1,0.946666666666667,0.782653312937305,2.32431070641141,1.55348200967436,42
"5","7","FN1","FN1","SDC2","SDC2",0.923076923076923,1,1.73605843858543,1.36766922105212,1.55186382981877,43
"6","3","MIA","MIA","ITGB1","ITGB1",1,0.917808219178082,2.64218646581,0.41946601331895,1.53082623956448,44
"6","6","MIA","MIA","ITGB1","ITGB1",0.945205479452055,0.917808219178082,2.64218646581,0.412803301570701,1.52749488369035,45
"2","5","COL4A5","COL4A5","CD44","CD44",1,0.919642857142857,0.726330419314999,2.32431070641141,1.52532056286321,46
"7","3","SEMA3E","SEMA3E","NRP2","NRP2",0.988888888888889,1,2.55491519124865,0.487504936234954,1.5212100637418,47
"3","5","ADAM10","ADAM10","CD44","CD44",1,0.988888888888889,0.689123564054343,2.32431070641141,1.50671713523288,48
"2","5","LAMA2","LAMA2","CD44","CD44",1,0.991071428571429,0.689087866584213,2.32431070641141,1.50669928649781,49
"1","6","EFNA2","EFNA2","EPHA3","EPHA3",0.945205479452055,0.661016949152542,0.917995564939097,2.07295004275206,1.49547280384558,50
"5","1","CXCL8","CXCL8","SDC3","SDC3",0.923728813559322,0.653333333333333,1.2585525418174,1.73172779248458,1.49514016715099,51
"5","6","VCAM1","VCAM1","ITGA4_ITGB1","ITGB1",0.794520547945205,0.946666666666667,2.09107738078012,0.896516877072268,1.49379712892619,52
"7","5","PKM","PKM","CD44","CD44",1,1,0.662956199996074,2.32431070641141,1.49363345320374,53
"2","5","SPP1","SPP1","CD44","CD44",1,1,0.653010545137138,2.32431070641141,1.48866062577428,54
"7","3","SEMA3A","SEMA3A","NRP1_PLXNA3","PLXNA3",1,1,2.26166881376377,0.697184619257023,1.47942671651039,55
"4","5","MADCAM1","MADCAM1","CD44","CD44",1,0.556818181818182,0.630929690733214,2.32431070641141,1.47762019857231,56
"7","3","SEMA3A","SEMA3A","NRP1_PLXNA1","PLXNA1",0.555555555555556,1,2.26166881376377,0.688442381082696,1.47505559742323,57
"4","5","LAMA3","LAMA3","CD44","CD44",1,0.920454545454545,0.625303460705835,2.32431070641141,1.47480708355862,58
"7","3","SEMA3A","SEMA3A","NRP1_PLXNA2","PLXNA2",0.633333333333333,1,2.26166881376377,0.685191614139174,1.47343021395147,59
"5","5","LAMB2","LAMB2","CD44","CD44",1,0.813333333333333,0.619086673071049,2.32431070641141,1.47169868974123,60
"7","2","HAPLN1","HAPLN1","IGDCC4","IGDCC4",0.767857142857143,1,2.40180879216011,0.536072672744764,1.46894073245244,61
"7","5","SEMA3A","SEMA3A","NRP1_PLXNA4","NRP1",0.946666666666667,1,2.26166881376377,0.674882174719693,1.46827549424173,62
"5","8","HAS2","HAS2","HMMR","HMMR",0.885714285714286,0.893333333333333,1.04071864155752,1.89267135870149,1.4666950001295,63
"3","5","LAMB2","LAMB2","CD44","CD44",1,0.755555555555556,0.606703310612395,2.32431070641141,1.4655070085119,64
"7","1","MDK","MDK","SDC3","SDC3",0.923728813559322,0.984615384615385,1.18988023392887,1.73172779248458,1.46080401320673,65
"8","6","EFNA5","EFNA5","EPHA3","EPHA3",0.945205479452055,0.857142857142857,0.847380301463368,2.07295004275206,1.46016517210772,66
"3","6","PDGFC","PDGFC","PDGFRA","PDGFRA",0.986301369863014,0.811111111111111,0.350119361375648,2.56177453514948,1.45594694826256,67
"1","5","PSEN1","PSEN1","CD44","CD44",1,0.949152542372881,0.585225810979164,2.32431070641141,1.45476825869529,68
"3","5","HBEGF","HBEGF","CD44","CD44",1,0.577777777777778,0.582429779389792,2.32431070641141,1.4533702429006,69
"7","2","SEMA3E","SEMA3E","PLXND1","PLXND1",0.616071428571429,1,2.55491519124865,0.332913690405697,1.44391444082717,70
"3","7","SFRP1","SFRP1","FZD6","FZD6",0.923076923076923,0.5,0.991666524478176,1.8958226027357,1.44374456360694,71
"6","5","LAMC1","LAMC1","CD44","CD44",1,0.917808219178082,0.563058054546954,2.32431070641141,1.44368438047918,72
"3","6","EFNA1","EFNA1","EPHA3","EPHA3",0.945205479452055,0.811111111111111,0.813037607629945,2.07295004275206,1.442993825191,73
"7","1","LAMC1","LAMC1","DAG1","DAG1",0.889830508474576,0.984615384615385,1.84328209519535,1.03980894149477,1.44154551834506,74
"7","1","CKLF","CKLF","CCR4","CCR4",0.830508474576271,0.984615384615385,1.33184865741674,1.54633219236617,1.43909042489145,75
"3","5","HGF","HGF","CD44","CD44",1,0.611111111111111,0.552154573662016,2.32431070641141,1.43823264003672,76
"5","1","C3","C3","MTNR1A","MTNR1A",0.855932203389831,1,2.08480732526936,0.784271043258996,1.43453918426418,77
"3","6","B2M","B2M","KLRC2","KLRC2",0.876712328767123,1,0.683791770187393,2.18059534615158,1.43219355816949,78
"7","6","ADAM10","ADAM10","EPHA3","EPHA3",0.945205479452055,1,0.788781832607603,2.07295004275206,1.43086593767983,79
"7","7","HAPLN1","HAPLN1","ADGRA2","ADGRA2",0.2,1,2.40180879216011,0.458622577284651,1.43021568472238,80
"5","6","CCN1","CCN1","ITGB5","ITGB5",0.917808219178082,0.813333333333333,1.60767049922597,1.25133867259467,1.42950458591032,81
"3","2","EFEMP1","EFEMP1","EGFR","EGFR",1,1,1.83896145329388,1.0152941159269,1.42712778461039,82
"7","6","S100A4","S100A4","ERBB3","ERBB3",0.958904109589041,0.415384615384615,1.19823210641378,1.64790600596743,1.4230690561906,83
"7","6","SEMA3E","SEMA3E","NRP2","NRP2",0.931506849315068,1,2.55491519124865,0.285956765572331,1.42043597841049,84
"5","5","MMP9","MMP9","CD44","CD44",1,0.12,0.511285243823291,2.32431070641141,1.41779797511735,85
"8","5","FGF1","FGF1","CD44","CD44",1,0.885714285714286,0.509851447117819,2.32431070641141,1.41708107676462,86
"5","6","EFNA1","EFNA1","EPHA3","EPHA3",0.945205479452055,0.773333333333333,0.754769526206038,2.07295004275206,1.41385978447905,87
"5","6","THBS2","THBS2","ITGA4","ITGA4",0.794520547945205,0.933333333333333,1.4425219208542,1.38023045257384,1.41137618671402,88
"2","5","COL6A6","COL6A6","CD44","CD44",1,0.401785714285714,0.493622590443459,2.32431070641141,1.40896664842744,89
"6","0","MIA","MIA","CDH7","CDH7",0.86046511627907,0.917808219178082,2.64218646581,0.17204021166912,1.40711333873956,90
"7","5","HAPLN1","HAPLN1","IGDCC4","IGDCC4",0.813333333333333,1,2.40180879216011,0.404192930046687,1.4030008611034,91
"8","5","VCAN","VCAN","CD44","CD44",1,1,0.478053040270156,2.32431070641141,1.40118187334079,92
"5","1","CCL2","CCL2","CCR4","CCR4",0.830508474576271,0.746666666666667,1.2554402324273,1.54633219236617,1.40088621239674,93
"7","7","PTN","PTN","SDC2","SDC2",0.923076923076923,1,1.43030919109949,1.36766922105212,1.3989892060758,94
"8","5","COL4A5","COL4A5","CD44","CD44",1,0.885714285714286,0.465456894594831,2.32431070641141,1.39488380050312,95
"5","5","PKM","PKM","CD44","CD44",1,1,0.463709305217448,2.32431070641141,1.39401000581443,96
"5","5","TIMP3","TIMP3","CD44","CD44",1,0.893333333333333,0.462837602969492,2.32431070641141,1.39357415469045,97
"4","5","COL6A3","COL6A3","CD44","CD44",1,0.965909090909091,0.45339808516853,2.32431070641141,1.38885439578997,98
"7","7","LAMC1","LAMC1","ITGA6_ITGB1","ITGA6",0.646153846153846,0.984615384615385,1.84328209519535,0.933949042976843,1.3886155690861,99
"2","5","COL4A2","COL4A2","CD44","CD44",1,0.964285714285714,0.449672759449985,2.32431070641141,1.3869917329307,100
"3","5","VIM","VIM","CD44","CD44",1,1,0.445526751365145,2.32431070641141,1.38491872888828,101
"6","5","ADAM10","ADAM10","CD44","CD44",1,0.945205479452055,0.438672489331005,2.32431070641141,1.38149159787121,102
"3","6","ADAM10","ADAM10","EPHA3","EPHA3",0.945205479452055,0.988888888888889,0.689123564054343,2.07295004275206,1.3810368034032,103
"6","4","MIA","MIA","ITGA5","ITGA5",0.568181818181818,0.917808219178082,2.64218646581,0.118045029430782,1.38011574762039,104
"5","7","VCAM1","VCAM1","ITGA9_ITGB1","ITGA9",0.569230769230769,0.946666666666667,2.09107738078012,0.659892157353493,1.3754847690668,105
"7","3","SEMA3A","SEMA3A","NRP2","NRP2",0.988888888888889,1,2.26166881376377,0.487504936234954,1.37458687499936,106
"7","2","LAMC1","LAMC1","ITGAV_ITGB8","ITGAV",0.982142857142857,0.984615384615385,1.84328209519535,0.905646166888782,1.37446413104207,107
"6","3","MIA","MIA","ITGA5","ITGA5",0.322222222222222,0.917808219178082,2.64218646581,0.105453394977616,1.37381993039381,108
"7","8","HAPLN1","HAPLN1","IL1RL1","IL1RL1",0.914285714285714,1,2.40180879216011,0.338271542539385,1.37004016734975,109
"5","3","BGN","BGN","LY96","LY96",0.433333333333333,0.92,1.85770140654715,0.879418630946295,1.36856001874672,110
"5","5","HBEGF","HBEGF","CD44","CD44",1,0.52,0.410572904593893,2.32431070641141,1.36744180550265,111
"2","6","PSG5","PSG5","PDGFRA","PDGFRA",0.986301369863014,0.723214285714286,0.170835534813824,2.56177453514948,1.36630503498165,112
"2","5","LAMB3","LAMB3","CD44","CD44",1,0.330357142857143,0.407868854718992,2.32431070641141,1.3660897805652,113
"4","5","LAMA5","LAMA5","CD44","CD44",1,0.818181818181818,0.407649764583817,2.32431070641141,1.36598023549762,114
"3","8","EFEMP1","EFEMP1","EGFR","EGFR",0.971428571428571,1,1.83896145329388,0.889531500115252,1.36424647670457,115
"5","6","VCAM1","VCAM1","ITGA4_ITGB7","ITGB7",0.191780821917808,0.946666666666667,2.09107738078012,0.636795663294474,1.36393652203729,116
"7","2","HAPLN1","HAPLN1","TREML2","TREML2",0.758928571428571,1,2.40180879216011,0.325039625535366,1.36342420884774,117
"5","4","C3","C3","C5AR2","C5AR2",0.965909090909091,1,2.08480732526936,0.641014707367318,1.36291101631834,118
"4","5","LAMA2","LAMA2","CD44","CD44",1,0.965909090909091,0.398459209154428,2.32431070641141,1.36138495778292,119
"7","4","HAPLN1","HAPLN1","TREML2","TREML2",0.840909090909091,1,2.40180879216011,0.320017069590963,1.36091293087554,120
"7","1","HAPLN1","HAPLN1","MPIG6B","MPIG6B",0.254237288135593,1,2.40180879216011,0.311537928419413,1.35667336028976,121
"0","6","PDGFC","PDGFC","PDGFRA","PDGFRA",0.986301369863014,0.618604651162791,0.151536506343007,2.56177453514948,1.35665552074624,122
"2","5","COL6A5","COL6A5","CD44","CD44",1,0.571428571428571,0.387705232331393,2.32431070641141,1.3560079693714,123
"2","8","CALM1","CALM1","HMMR","HMMR",0.885714285714286,1,0.81926933095957,1.89267135870149,1.35597034483053,124
"3","5","LPL","LPL","CD44","CD44",1,0.944444444444444,0.386030214158228,2.32431070641141,1.35517046028482,125
"5","4","C3","C3","CR1","CR1",0.954545454545455,1,2.08480732526936,0.624704236652901,1.35475578096113,126
"6","7","MIA","MIA","ITGA5","ITGA5",0.6,0.917808219178082,2.64218646581,0.0661792984485404,1.35418288212927,127
"2","6","PDGFA","PDGFA","PDGFRA","PDGFRA",0.986301369863014,0.955357142857143,0.13997799841273,2.56177453514948,1.3508762667811,128
"6","5","LAMA1","LAMA1","CD44","CD44",1,0.917808219178082,0.376179186712475,2.32431070641141,1.35024494656194,129
"7","4","HAPLN1","HAPLN1","MPIG6B","MPIG6B",0.727272727272727,1,2.40180879216011,0.294402455638935,1.34810562389952,130
"5","4","C3","C3","MTNR1A","MTNR1A",0.988636363636364,1,2.08480732526936,0.608421049569546,1.34661418741945,131
"6","3","MIA","MIA","ITGA4","ITGA4",0.388888888888889,0.917808219178082,2.64218646581,0.0475546221327146,1.34487054397136,132
"4","5","COL9A1","COL9A1","CD44","CD44",1,0.977272727272727,0.36529541552961,2.32431070641141,1.34480306097051,133
"4","5","COL4A3","COL4A3","CD44","CD44",1,0.965909090909091,0.364581442195829,2.32431070641141,1.34444607430362,134
"5","5","CCN1","CCN1","SDC4","SDC4",0.92,0.813333333333333,1.60767049922597,1.0807329189817,1.34420170910384,135
"7","4","SEMA3E","SEMA3E","PLXND1","PLXND1",0.670454545454545,1,2.55491519124865,0.132792086057626,1.34385363865314,136
"5","7","C3","C3","CD46","CD46",1,1,2.08480732526936,0.597781449071689,1.34129438717052,137
"5","6","B2M","B2M","KLRC2","KLRC2",0.876712328767123,1,0.500776051504153,2.18059534615158,1.34068569882787,138
"7","4","SEMA3E","SEMA3E","NRP2","NRP2",0.965909090909091,1,2.55491519124865,0.121799333806929,1.33835726252779,139
"6","5","PRG4","PRG4","CD44","CD44",1,0.452054794520548,0.352030643408997,2.32431070641141,1.33817067491021,140
"7","7","SEMA3E","SEMA3E","NRP1","NRP1",0.984615384615385,1,2.55491519124865,0.11877552244804,1.33684535684834,141
"6","7","SLIT1","SLIT1","FLRT3","FLRT3",1,0.835616438356164,0.523827376932624,2.14725077092774,1.33553907393018,142
"4","6","PSG5","PSG5","PDGFRA","PDGFRA",0.986301369863014,0.886363636363636,0.108811799546055,2.56177453514948,1.33529316734777,143
"4","5","LAMC2","LAMC2","CD44","CD44",1,0.920454545454545,0.334830710176157,2.32431070641141,1.32957070829379,144
"5","7","VCAM1","VCAM1","ITGA4_ITGB1","ITGA4",0.338461538461538,0.946666666666667,2.09107738078012,0.564142862460231,1.32761012162017,145
"3","5","VEGFA","VEGFA","CD44","CD44",1,0.933333333333333,0.328776632294956,2.32431070641141,1.32654366935319,146
"0","5","COL9A2","COL9A2","CD44","CD44",1,0.232558139534884,0.327655150029611,2.32431070641141,1.32598292822051,147
"8","5","LAMC2","LAMC2","CD44","CD44",1,0.771428571428571,0.325582965537161,2.32431070641141,1.32494683597429,148
"5","5","TNC","TNC","SDC4","SDC4",0.92,1,1.56814031135561,1.0807329189817,1.32443661516865,149
"5","3","C3","C3","CD46","CD46",1,1,2.08480732526936,0.56357236576138,1.32418984551537,150
"7","4","SEMA3E","SEMA3E","NRP1","NRP1",0.954545454545455,1,2.55491519124865,0.0907288190425418,1.32282200514559,151
"4","6","EFNA1","EFNA1","EPHA3","EPHA3",0.945205479452055,0.590909090909091,0.57140560008362,2.07295004275206,1.32217782141784,152
"8","6","PSG5","PSG5","PDGFRA","PDGFRA",0.986301369863014,0.742857142857143,0.0808885626332161,2.56177453514948,1.32133154889135,153
"6","5","COL4A4","COL4A4","CD44","CD44",1,0.849315068493151,0.317623593310668,2.32431070641141,1.32096714986104,154
"5","2","FN1","FN1","ITGAV_ITGB8","ITGAV",0.982142857142857,1,1.73605843858543,0.905646166888782,1.32085230273711,155
"6","2","MIA","MIA","CDH7","CDH7",0.955357142857143,0.917808219178082,2.64218646581,-0.000717530937400987,1.3207344674363,156
"5","5","HGF","HGF","CD44","CD44",1,0.626666666666667,0.315097514499237,2.32431070641141,1.31970411045533,157
"6","5","MIA","MIA","ITGB1","ITGB1",1,0.917808219178082,2.64218646581,-0.00363839963039542,1.3192740330898,158
"5","6","FN1","FN1","ITGA4_ITGB1","ITGB1",0.794520547945205,1,1.73605843858543,0.896516877072268,1.31628765782885,159
"1","6","PSG5","PSG5","PDGFRA","PDGFRA",0.986301369863014,0.177966101694915,0.0701998767799115,2.56177453514948,1.31598720596469,160
"7","5","SEMA3E","SEMA3E","NRP1","NRP1",0.96,1,2.55491519124865,0.076842022355718,1.31587860680218,161
"5","5","CCN1","CCN1","CAV1","CAV1",0.92,0.813333333333333,1.60767049922597,1.02396930808802,1.31581990365699,162
"4","7","VEGFA","VEGFA","ITGB1","ITGB1",1,0.965909090909091,1.32229485424348,1.30780764363557,1.31505124893952,163
"2","5","PKM","PKM","CD44","CD44",1,1,0.305271084524656,2.32431070641141,1.31479089546804,164
"4","3","VEGFA","VEGFA","NRP1","NRP1",1,0.965909090909091,1.32229485424348,1.30713750139481,1.31471617781915,165
"7","2","ANXA1","ANXA1","EGFR","EGFR",1,1,1.61331705873212,1.0152941159269,1.31430558732951,166
"6","5","COL9A3","COL9A3","CD44","CD44",1,0.575342465753425,0.302896246112483,2.32431070641141,1.31360347626195,167
"5","7","CXCL8","CXCL8","SDC2","SDC2",0.923076923076923,0.653333333333333,1.2585525418174,1.36766922105212,1.31311088143476,168
"2","5","ADAM10","ADAM10","CD44","CD44",1,0.955357142857143,0.300365084486624,2.32431070641141,1.31233789544902,169
"6","1","MIA","MIA","CDH7","CDH7",0.508474576271186,0.917808219178082,2.64218646581,-0.019387134574715,1.31139966561764,170
"7","5","SEMA3E","SEMA3E","PLXND1","PLXND1",0.626666666666667,1,2.55491519124865,0.0659073644343348,1.31041127784149,171
"6","8","MIA","MIA","ITGB1","ITGB1",1,0.917808219178082,2.64218646581,-0.0267602970732366,1.30771308436838,172
"5","1","NCAN","NCAN","SDC3","SDC3",0.923728813559322,0.96,0.883009715098984,1.73172779248458,1.30736875379178,173
"6","8","MIA","MIA","ITGA5","ITGA5",0.457142857142857,0.917808219178082,2.64218646581,-0.0329308546038809,1.30462780560306,174
"5","5","SELE","SELE","CD44","CD44",1,0.293333333333333,0.280519846347215,2.32431070641141,1.30241527637931,175
"6","6","MIA","MIA","ITGA5","ITGA5",0.575342465753425,0.917808219178082,2.64218646581,-0.0416918135484906,1.30024732613076,176
"1","4","IGF2","IGF2","INSR","INSR",0.965909090909091,0.915254237288136,1.95482786962507,0.644238625193062,1.29953324740907,177
"5","5","IL6","IL6","HRH1","HRH1",0.986666666666667,0.973333333333333,1.50558955029151,1.09337319421731,1.29948137225441,178
"3","1","AGT","AGT","MTNR1A","MTNR1A",0.855932203389831,1,1.81201973694353,0.784271043258996,1.29814539010126,179
"1","4","IGF2","IGF2","IGF2R","IGF2R",0.988636363636364,0.915254237288136,1.95482786962507,0.6396874113,1.29725764046253,180
"5","3","FN1","FN1","DPP4","DPP4",0.955555555555556,1,1.73605843858543,0.857538461289633,1.29679844993753,181
"7","1","SEMA3A","SEMA3A","NRP1_PLXNA3","NRP1",0.466101694915254,1,2.26166881376377,0.33148212516828,1.29657546946602,182
"7","1","FAM3C","FAM3C","FFAR2","FFAR2",0.889830508474576,0.907692307692308,0.840468311132887,1.7510541283098,1.29576121972134,183
"3","3","TIMP1","TIMP1","CD63","CD63",1,1,1.6781031378188,0.913329266983497,1.29571620240115,184
"5","5","SPP1","SPP1","CD44","CD44",1,1,0.265379581120495,2.32431070641141,1.29484514376595,185
"5","4","C3","C3","ITGAX","ITGAX",0.931818181818182,1,2.08480732526936,0.502303681282191,1.29355550327578,186
"4","5","FGF2","FGF2","CD44","CD44",1,0.886363636363636,0.26240943335086,2.32431070641141,1.29336006988114,187
"5","2","TNC","TNC","ITGA7","ITGA7",1,1,1.56814031135561,1.01689533710066,1.29251782422814,188
"5","2","TNC","TNC","EGFR","EGFR",1,1,1.56814031135561,1.0152941159269,1.29171721364125,189
"5","6","VCL","VCL","ITGB5","ITGB5",0.917808219178082,0.986666666666667,1.32837743506796,1.25133867259467,1.28985805383132,190
"5","1","C3","C3","C5AR2","C5AR2",0.703389830508475,1,2.08480732526936,0.49295559988563,1.28888146257749,191
"4","5","COL1A1","COL1A1","CD44","CD44",1,0.954545454545455,0.251952516699236,2.32431070641141,1.28813161155533,192
"8","8","CALM1","CALM1","HMMR","HMMR",0.885714285714286,0.942857142857143,0.680300665797226,1.89267135870149,1.28648601224936,193
"7","5","VIM","VIM","CD44","CD44",1,1,0.248363458659183,2.32431070641141,1.2863370825353,194
"6","3","MIA","MIA","CDH7","CDH7",0.966666666666667,0.917808219178082,2.64218646581,-0.0704959420012218,1.28584526190439,195
"7","2","HAPLN1","HAPLN1","PRTG","PRTG",0.892857142857143,1,2.40180879216011,0.165675792114923,1.28374229213752,196
"1","4","IGF2","IGF2","IGF1R","IGF1R",0.954545454545455,0.915254237288136,1.95482786962507,0.612432408807755,1.28363013921641,197
"7","5","VCAN","VCAN","CD44","CD44",1,0.969230769230769,0.24263056292065,2.32431070641141,1.28347063466603,198
"6","5","TIMP2","TIMP2","CD44","CD44",1,0.917808219178082,0.241614158851973,2.32431070641141,1.28296243263169,199
"0","5","COL9A3","COL9A3","CD44","CD44",1,0.330232558139535,0.241292924858782,2.32431070641141,1.2828018156351,200
"5","7","FN1","FN1","TNFRSF11B","TNFRSF11B",0.923076923076923,1,1.73605843858543,0.827442106624852,1.28175027260514,201
"7","5","FN1","FN1","CD44","CD44",1,0.969230769230769,0.237698664656756,2.32431070641141,1.28100468553408,202
"4","5","COL14A1","COL14A1","CD44","CD44",1,0.954545454545455,0.235887787211193,2.32431070641141,1.2800992468113,203
"3","5","LAMB1","LAMB1","CD44","CD44",1,1,0.234639871839106,2.32431070641141,1.27947528912526,204
"7","7","MDK","MDK","SDC2","SDC2",0.923076923076923,0.984615384615385,1.18988023392887,1.36766922105212,1.27877472749049,205
"6","2","MIA","MIA","ITGA4","ITGA4",0.580357142857143,0.917808219178082,2.64218646581,-0.0854739654532913,1.27835625017836,206
"6","8","MIA","MIA","CDH7","CDH7",0.971428571428571,0.917808219178082,2.64218646581,-0.085952115020287,1.27811717539486,207
"5","6","PLA2G2A","PLA2G2A","ERBB3","ERBB3",0.958904109589041,0.653333333333333,0.908225440373695,1.64790600596743,1.27806572317056,208
"3","5","LAMA2","LAMA2","CD44","CD44",1,0.988888888888889,0.229687591473854,2.32431070641141,1.27699914894263,209
"7","8","SEMA3E","SEMA3E","NRP1","NRP1",0.942857142857143,1,2.55491519124865,-0.00114546198262523,1.27688486463301,210
"6","5","COL6A5","COL6A5","CD44","CD44",1,0.602739726027397,0.226282041985116,2.32431070641141,1.27529637419827,211
"1","5","COL6A3","COL6A3","CD44","CD44",1,0.627118644067797,0.225420999418768,2.32431070641141,1.27486585291509,212
"7","6","SEMA3A","SEMA3A","NRP2","NRP2",0.931506849315068,1,2.26166881376377,0.285956765572331,1.27381278966805,213
"7","8","SEMA3E","SEMA3E","PLXND1","PLXND1",0.628571428571429,1,2.55491519124865,-0.00847742951642415,1.27321888086611,214
"7","4","HAPLN1","HAPLN1","IL1RL1","IL1RL1",0.909090909090909,1,2.40180879216011,0.143195688082556,1.27250224012133,215
"7","4","HAPLN1","HAPLN1","PRTG","PRTG",0.852272727272727,1,2.40180879216011,0.142997743240666,1.27240326770039,216
"6","0","MIA","MIA","ITGA4","ITGA4",0.27906976744186,0.917808219178082,2.64218646581,-0.0981720083622575,1.27200722872387,217
"6","4","MIA","MIA","ITGA4","ITGA4",0.431818181818182,0.917808219178082,2.64218646581,-0.0999335407879019,1.27112646251105,218
"6","6","PSG5","PSG5","PDGFRA","PDGFRA",0.986301369863014,0.808219178082192,-0.0197462791258684,2.56177453514948,1.2710141280118,219
"0","5","VCAN","VCAN","CD44","CD44",1,0.874418604651163,0.216493697673565,2.32431070641141,1.27040220204249,220
